,date,sales,sales_diff
5130,2021-11-01,1201275.354,-283241.86400000006
5129,2021-10-01,1282952.27,81676.91599999997
5128,2021-09-01,1186563.472,-96388.79799999995
5127,2021-08-01,1050841.482,-135721.99
5126,2021-07-01,857864.1362,-192977.34580000013
5125,2021-06-01,809645.2865,-48218.849699999904
5124,2021-05-01,861330.3109,51685.024399999995
5123,2021-04-01,1097800.27,236469.95909999998
5122,2021-03-01,1281469.387,183669.1170000001
5121,2021-02-01,1102511.844,-178957.54300000006
5120,2021-01-01,1053652.498,-48859.346000000136
5119,2020-12-01,981607.942,-72044.55599999987
5118,2020-11-01,954211.2915,-27396.65049999999
5117,2020-10-01,814215.9188,-139995.37270000007
5116,2020-09-01,736039.4077,-78176.5111
5115,2020-08-01,709306.0161,-26733.391599999974
5114,2020-07-01,714395.027,5089.010899999994
5113,2020-06-01,593057.4121,-121337.61490000004
5112,2020-05-01,585764.4517,-7292.960399999982
5111,2020-04-01,67956.44697,-517808.00473
5110,2020-03-01,791106.2859,723149.83893
5109,2020-02-01,998850.207,207743.92110000004
5108,2020-01-01,1054080.856,55230.64899999986
5107,2019-12-01,622351.4437,-431729.41229999997
5106,2019-11-01,765479.8723,143128.4286000001
5105,2019-10-01,774699.7511,9219.878799999948
5104,2019-09-01,533027.68,-241672.07109999994
5103,2019-08-01,506588.6,-26439.080000000075
5102,2019-07-01,671338.6674,164750.06740000006
5101,2019-06-01,533175.0,-138163.66740000003
5100,2019-05-01,771498.0,238323.0
5099,2019-04-01,770708.0,-790.0
5098,2019-03-01,675619.0,-95089.0
5097,2019-02-01,652993.0,-22626.0
5096,2019-01-01,773949.0,120956.0
5095,2018-12-01,499945.0677,-274003.9323
5094,2018-11-01,586954.6024,87009.53469999996
5093,2018-10-01,547741.9518,-39212.650599999935
5092,2018-09-01,467763.8645,-79978.08730000001
5091,2018-08-01,411375.7743,-56388.090200000035
5090,2018-07-01,462984.9687,51609.19440000004
5089,2018-06-01,521928.6232,58943.654499999946
5088,2018-05-01,463287.4331,-58641.19009999995
5087,2018-04-01,471527.5722,8240.139099999971
5086,2018-03-01,352858.6627,-118668.90950000001
5085,2018-02-01,252805.2276,-100053.43509999997
5084,2018-01-01,238942.5951,-13862.632500000007
5083,2017-12-01,373181.8691,134239.274
5082,2017-11-01,436224.5837,63042.71460000001
5081,2017-10-01,372819.1454,-63405.43830000004
5080,2017-09-01,463291.7098,90472.56440000003
5079,2017-08-01,472566.9528,9275.243000000017
5078,2017-07-01,408790.8441,-63776.10870000004
5077,2017-06-01,363674.8954,-45115.94870000001
5076,2017-05-01,384335.6631,20660.767700000026
5075,2017-04-01,287313.3582,-97022.30489999999
5074,2017-03-01,448603.6582,161290.3
5073,2017-02-01,278383.1018,-170220.5564
5072,2017-01-01,434595.5788,156212.477
